Time,ke1,ke2,Ue1,Et
1,2.6019359960484122e-12,3.5700168150997115e-12,-1.2749987751839495e-09,-1.2688268223728015e-09
2,3.6624219698468086e-12,4.048975118525355e-12,-1.3189101838314207e-09,-1.3111987867430485e-09
3,4.44982710877385e-12,4.376912408172403e-12,-1.47506694735597e-09,-1.4662402078390237e-09
4,4.710601591445364e-12,4.481612896269547e-12,-1.8602613669450326e-09,-1.8510691524573177e-09
5,4.186947351860696e-12,4.269521828515104e-12,-3.060875906496942e-09,-3.052419437316566e-09
6,2.7483718152656886e-12,3.639418270187597e-12,-3.2615393278432734e-08,-3.260900548834728e-08
7,8.076147104171891e-13,2.552981633089077e-12,2.7268757337004924e-09,2.7302363300439984e-09
8,9.836593999993483e-14,1.2163506208497349e-12,1.1491818027210372e-09,1.1504965192818868e-09
9,3.4881438060930902e-12,2.194503548621456e-13,6.963306964192698e-10,7.00038290580225e-10
10,1.0855582648310674e-11,1.3033778111832078e-14,5.219330501494373e-10,5.328016665758599e-10
11,1.641194337372533e-11,1.78893703093713e-13,4.788533396351882e-10,4.954441767120072e-10
12,1.6216626268916605e-11,1.7064125837069978e-13,5.36047711592058e-10,5.524349791193453e-10
13,1.2271904627189638e-11,3.96897089584264e-14,7.176476202118283e-10,7.299592145479763e-10
14,7.691319579853967e-12,9.745417053090474e-15,1.145167739752714e-09,1.1528688047496212e-09
15,4.007495980413981e-12,1.7111617527639775e-13,2.4257954955451608e-09,2.429974107700851e-09
16,1.585196376071125e-12,5.139741199695732e-13,2.6172371953502094e-08,2.6174471123998134e-08
17,3.2480064682326876e-13,9.965175254406097e-13,-3.953959968856544e-09,-3.95263865068428e-09
18,3.4333801637130284e-15,1.5746347624393832e-12,-2.116973631056707e-09,-2.115395562914104e-09
19,3.909517826754906e-13,2.208746071824691e-12,-1.586619627442338e-09,-1.5840199295878378e-09
20,1.274252528614757e-12,2.862069714478651e-12,-1.3634706759069984e-09,-1.359334353663905e-09
21,2.4482586761059404e-12,3.4957994452599104e-12,-1.2738290582417123e-09,-1.2678850001203464e-09
22,3.693745311879392e-12,4.062403226790536e-12,-1.2744765461380013e-09,-1.2667203975993315e-09
23,4.748612284904973e-12,4.496731145103784e-12,-1.3740625605041039e-09,-1.3648172170740952e-09
24,5.281093423289779e-12,4.70500984926117e-12,-1.6520622919819045e-09,-1.6420761887093536e-09
25,4.899721089402096e-12,4.556489757465436e-12,-2.484393390977707e-09,-2.4749371801308397e-09
26,3.3218108005381537e-12,3.900584733813989e-12,-1.011173057679112e-08,-1.0104508181256768e-08
27,9.852945831913371e-13,2.6770150614404182e-12,3.0546890137081087e-09,3.0583513233527404e-09
28,1.1967012967410369e-13,1.1874381195182062e-12,1.137734807503154e-09,1.1390419157523462e-09
29,3.896355838458128e-12,1.8068804962513433e-13,6.730746056245251e-10,6.771516495126083e-10
30,1.1057919105478013e-11,1.6038502030742176e-14,5.120501852780268e-10,5.231241428855355e-10
31,1.559524223338168e-11,1.4537631152611673e-13,4.84174623234762e-10,4.999152417796697e-10
32,1.5051989788010486e-11,1.245760846256433e-13,5.528733296937367e-10,5.680498955663728e-10
33,1.158424154850757e-11,2.514622591058823e-14,7.353170265376021e-10,7.469264143120202e-10
34,7.585841953242721e-12,1.1344192949008616e-14,1.1293120582594277e-09,1.1369092444056194e-09
35,4.228066271826379e-12,1.532505992524214e-13,2.1674876849253576e-09,2.1718690017964365e-09
36,1.8639138394733368e-12,4.5368478497103677e-13,9.389456472083338e-09,9.391774070707782e-09
37,4.955274151478932e-13,8.902716512958803e-13,-5.512056590042907e-09,-5.510670790976463e-09
38,6.538964581078825e-15,1.4349899322074328e-12,-2.4411776422496487e-09,-2.4397361133528603e-09
39,2.501777087139596e-13,2.0595690379444126e-12,-1.7106142471546218e-09,-1.7083045004079634e-09
40,1.071989407842991e-12,2.734429003580344e-12,-1.4081237421749085e-09,-1.404317323763485e-09
41,2.3028276717000983e-12,3.4241387388079774e-12,-1.2703729229268134e-09,-1.2646459565163052e-09
42,3.7339534003957815e-12,4.079589327870736e-12,-1.2303016184376285e-09,-1.222488075709362e-09
43,5.076430151729145e-12,4.625702942738368e-12,-1.282209414384428e-09,-1.2725072812899605e-09
44,5.911284117269449e-12,4.9439640998616405e-12,-1.4801594990743475e-09,-1.4693042508572164e-09
45,5.6783311583823886e-12,4.856506175367325e-12,-2.08430123062426e-09,-2.0737663932905102e-09
46,3.901031996051736e-12,4.1504104786632616e-12,-6.070868779943993e-09,-6.062817337469278e-09
47,1.1044576095670445e-12,2.7554814453492803e-12,3.363251466948279e-09,3.367111406003195e-09
48,1.7243175641336846e-13,1.1265667353873402e-12,1.1095911196431499e-09,1.1108901181349505e-09
49,4.281944249350087e-12,1.4910467509058846e-13,6.505400148358338e-10,6.549710637602745e-10
50,1.0930309760666629e-11,1.4110413216005111e-14,5.075508718240519e-10,5.184952919979345e-10
51,1.4560992291666728e-11,1.0686758958930497e-13,4.94316268693106e-10,5.08984128574362e-10
52,1.3931763628833698e-11,8.577570563730174e-14,5.708808839950088e-10,5.848984233294797e-10
53,1.0983131005719589e-11,1.4894884371053867e-14,7.487284937074261e-10,7.597265195975168e-10
54,7.518028569503708e-12,1.2442562586895046e-14,1.1057857252489289e-09,1.1133161963810195e-09
55,4.459794461613627e-12,1.3599518041625185e-13,1.9523465413588337e-09,1.9569423310008636e-09
56,2.1587524237086847e-12,3.9828277586202093e-13,5.7647346989410215e-09,5.767291734140592e-09
57,6.969031729349585e-13,7.923039081767836e-13,-8.904760219032346e-09,-8.903271011951235e-09
58,4.744918092723402e-14,1.3041529097525952e-12,-2.8641107791210004e-09,-2.8627591770303205e-09
59,1.416458645466724e-13,1.917036797479997e-12,-1.8497004775694443e-09,-1.8476417949074177e-09
60,8.87970413831163e-13,2.61024239428889e-12,-1.4529667277586233e-09,-1.4494685149505032e-09
61,2.1637740752555634e-12,3.3541986099615968e-12,-1.2647721439457367e-09,-1.2592541712605196e-09
62,3.7833327977146294e-12,4.1006185772746844e-12,-1.1865601608073427e-09,-1.1786762094323535e-09
63,5.437469583888156e-12,4.765018193869307e-12,-1.198424574264281e-09,-1.1882220864865235e-09
64,6.605896185073058e-12,5.199313924424152e-12,-1.3363203551370982e-09,-1.324515145027601e-09
65,6.510578951798986e-12,5.164723651877935e-12,-1.7934808432464584e-09,-1.7818055406427814e-09
66,4.439595401167658e-12,4.3727682923651645e-12,-4.431341021939148e-09,-4.4225286582456155e-09
67,1.136170541515057e-12,2.775823734726941e-12,3.5697434558817827e-09,3.5736554501580246e-09
68,2.6084015747115246e-13,1.0453437330030847e-12,1.0675122415024555e-09,1.0688184253929298e-09
69,4.5593264486526146e-12,1.290302334530635e-13,6.317052290491567e-10,6.363935857312625e-10
70,1.0489441455101614e-11,8.333348276295198e-15,5.090268140632757e-10,5.195245888666536e-10
71,1.3418747911718908e-11,6.998987437475656e-14,5.083848850761297e-10,5.218736228622234e-10
72,1.288301750958907e-11,5.4942966566712076e-14,5.888758418076282e-10,6.018138022837839e-10
